Date_YYYYMM,cpi,ppi,interest rates,Money Suply m2,Inflatio-Rate,cpi-scaled,ppi-scaled,interest rates-scaled,m2-scaled,inflation rate-scaled
2012.01,94.25,101.63,8.5,17046.24,7.5,-1,-1,1,-1,0.122
2012.02,94.74,102.1,8.5,17245.67,9.14,-0.99,-0.983,1,-0.991,0.431
2012.03,95.49,103.1,8.5,17705.19,8.96,-0.973,-0.945,1,-0.971,0.397
2012.04,96.81,104.7,8,17825.2,10.26,-0.945,-0.886,0.778,-0.966,0.642
2012.05,97.72,105.3,8,17849.61,10.36,-0.926,-0.863,0.778,-0.965,0.661
2012.06,98.88,105.3,8,18428.51,9.92,-0.901,-0.863,0.778,-0.94,0.578
2012.07,100.37,106.2,8,17752.44,9.86,-0.869,-0.83,0.778,-0.969,0.567
2012.08,101.6,106.9,8,17927.78,10.02,-0.843,-0.804,0.778,-0.962,0.597
2012.09,102.5,107.6,8,17831.65,9.73,-0.823,-0.778,0.778,-0.966,0.542
2012.1,103.2,107.4,8,17703.31,9.75,-0.808,-0.785,0.778,-0.971,0.546
2012.11,103.6,107.3,8,18315.71,9.9,-0.8,-0.789,0.778,-0.945,0.574
2012.12,103.8,107.1,8,18501.19,10.5,-0.795,-0.797,0.778,-0.937,0.687
2013.01,104.6,108,7.75,18417.17,10.97,-0.778,-0.763,0.667,-0.94,0.776
2013.02,105.3,108.4,7.75,18802.9,11.13,-0.763,-0.748,0.667,-0.924,0.806
2013.03,105.5,108.6,7.75,19353.76,10.4,-0.759,-0.741,0.667,-0.9,0.669
2013.04,106.1,108.6,7.5,19392.05,9.58,-0.746,-0.741,0.556,-0.898,0.514
2013.05,106.9,108.6,7.5,19608,9.38,-0.729,-0.741,0.556,-0.889,0.476
2013.06,109.3,110.1,7.25,20092.64,10.53,-0.678,-0.685,0.444,-0.868,0.693
2013.07,111,111.2,7.25,19455.58,10.58,-0.641,-0.644,0.444,-0.895,0.702
2013.08,112.4,112.9,7.25,19419.35,10.61,-0.611,-0.581,0.444,-0.897,0.708
2013.09,113.7,114.3,7.25,19492.27,10.9,-0.583,-0.529,0.444,-0.894,0.763
2013.1,114.8,114.6,7.75,19684.02,11.17,-0.56,-0.518,0.667,-0.885,0.814
2013.11,116.3,114.3,7.75,20029.12,12.16,-0.528,-0.529,0.667,-0.87,1
2013.12,114.5,113.4,7.75,20296.91,10.26,-0.566,-0.562,0.667,-0.859,0.642
2014.01,113.6,113.6,8,20494.4,8.6,-0.585,-0.555,0.778,-0.85,0.33
2014.02,113.6,113.6,8,20609.95,7.8,-0.585,-0.555,0.778,-0.845,0.179
2014.03,114.2,114.3,8,21027.79,8.2,-0.573,-0.529,0.778,-0.827,0.254
2014.04,115.1,114.1,8,21641.33,8.48,-0.553,-0.536,0.778,-0.8,0.307
2014.05,115.8,114.8,8,22010.91,8.33,-0.538,-0.51,0.778,-0.784,0.279
2014.06,116.7,115.2,8,21914.68,6.77,-0.519,-0.495,0.778,-0.789,-0.015
2014.07,119.2,116.7,8,21519.89,7.38,-0.465,-0.439,0.778,-0.806,0.1
2014.08,120.3,117.2,8,21550.06,7.02,-0.442,-0.421,0.778,-0.804,0.032
2014.09,120.1,116.4,8,21590.15,5.6,-0.446,-0.451,0.778,-0.803,-0.235
2014.1,120.1,115.6,8,21943.8,4.6,-0.446,-0.48,0.778,-0.787,-0.424
2014.11,120.1,114.1,8,22148.19,3.26,-0.446,-0.536,0.778,-0.778,-0.676
2014.12,119.4,112.1,8,22339.79,4.2,-0.461,-0.611,0.778,-0.77,-0.499
2015.01,119.5,110.8,8,22345.91,5.2,-0.459,-0.659,0.778,-0.77,-0.311
2015.02,119.7,109.6,7.75,22814.23,5.37,-0.455,-0.704,0.667,-0.75,-0.279
2015.03,120.2,109.9,7.75,23398.32,5.26,-0.444,-0.692,0.667,-0.724,-0.299
2015.04,120.7,110.2,7.5,23841.94,4.8,-0.433,-0.681,0.556,-0.705,-0.386
2015.05,121.6,111.4,7.5,24152.11,5,-0.414,-0.637,0.556,-0.691,-0.348
2015.06,123,111.8,7.25,23945.96,5.36,-0.384,-0.622,0.444,-0.7,-0.281
2015.07,123.6,111.1,7.25,23828.94,3.69,-0.371,-0.648,0.444,-0.705,-0.595
2015.08,124.8,110,7.25,23922.52,3.74,-0.345,-0.689,0.444,-0.701,-0.586
2015.09,125.4,109.9,7.25,24014.17,4.4,-0.333,-0.692,0.444,-0.697,-0.461
2015.1,126.1,110.1,6.75,24569.23,5,-0.318,-0.685,0.222,-0.673,-0.348
2015.11,126.6,109.9,6.75,24776.89,5.41,-0.307,-0.692,0.222,-0.664,-0.271
2015.12,126.1,109.4,6.75,25149.05,5.61,-0.318,-0.711,0.222,-0.648,-0.234
2016.01,126.3,108,6.75,25002.23,5.69,-0.313,-0.763,0.222,-0.654,-0.218
