date,unemployment rate,unemployment rate-scaled,LFPR,LFPR scaled,interest rates,interest rates-scaled,inflation rate,inflation rate scaled,gdp rate,scaled gdprate,EMPR,EMPR-scaled
1980.01,6.3,-0.491,64,0.083,13.82,0.446,13.9,0.893,0.3,0.045,60,0.304
1980.02,6.3,-0.491,64,0.083,14.13,0.478,14.2,0.929,0.3,0.045,60,0.304
1980.03,6.3,-0.491,63.7,0,17.19,0.799,14.8,1,0.3,0.045,59.7,0.259
1980.04,6.9,-0.386,63.8,0.028,17.61,0.844,14.7,0.988,0.3,0.045,59.4,0.215
1980.05,7.5,-0.281,63.9,0.056,10.98,0.148,14.4,0.953,0.3,0.045,59.1,0.17
1980.06,7.6,-0.263,63.7,0,9.47,-0.011,14.4,0.953,0.3,0.045,58.9,0.141
1980.07,7.8,-0.228,63.8,0.028,9.03,-0.057,13.1,0.799,-2.1,-0.261,58.8,0.126
1980.08,7.7,-0.246,63.7,0,9.61,0.004,12.9,0.775,-2.1,-0.261,58.8,0.126
1980.09,7.5,-0.281,63.6,-0.028,10.87,0.136,12.6,0.74,-2.1,-0.261,58.9,0.141
1980.1,7.5,-0.281,63.7,0,12.81,0.34,12.8,0.763,-0.1,-0.006,58.9,0.141
1980.11,7.5,-0.281,63.8,0.028,15.85,0.659,12.6,0.74,-0.1,-0.006,59,0.156
1980.12,7.2,-0.333,63.6,-0.028,18.9,0.979,12.5,0.728,-0.1,-0.006,59,0.156
1981.01,7.5,-0.281,63.9,0.056,19.08,0.998,11.8,0.645,1.9,0.248,59.1,0.17
1981.02,7.4,-0.298,63.9,0.056,15.93,0.667,11.4,0.598,1.9,0.248,59.2,0.185
1981.03,7.4,-0.298,64.1,0.111,14.7,0.538,10.5,0.491,1.9,0.248,59.4,0.215
1981.04,7.2,-0.333,64.2,0.139,15.72,0.645,10,0.432,2,0.261,59.6,0.244
1981.05,7.5,-0.281,64.3,0.167,18.52,0.939,9.8,0.408,2,0.261,59.5,0.23
1981.06,7.5,-0.281,63.7,0,19.1,1,9.6,0.385,2,0.261,59,0.156
