date,EMPR,EMPR-scaled
1980.01,60,0.304
1980.02,60,0.304
1980.03,59.7,0.259
1980.04,59.4,0.215
1980.05,59.1,0.17
1980.06,58.9,0.141
1980.07,58.8,0.126
1980.08,58.8,0.126
1980.09,58.9,0.141
1980.1,58.9,0.141
1980.11,59,0.156
1980.12,59,0.156
1981.01,59.1,0.17
1981.02,59.2,0.185
1981.03,59.4,0.215
1981.04,59.6,0.244
1981.05,59.5,0.23
1981.06,59,0.156
1981.07,59.1,0.17
1981.08,59.1,0.17
1981.09,58.7,0.111
1981.1,58.8,0.126
1981.11,58.6,0.096
1981.12,58.2,0.037
1982.01,58.2,0.037
1982.02,58.2,0.037
1982.03,58.1,0.022
1982.04,57.9,-0.007
1982.05,58.2,0.037
1982.06,57.8,-0.022
1982.07,57.7,-0.037
1982.08,57.8,-0.022
1982.09,57.6,-0.052
1982.1,57.4,-0.081
1982.11,57.3,-0.096
1982.12,57.2,-0.111
1983.01,57.2,-0.111
1983.02,57.1,-0.126
1983.03,57.1,-0.126
1983.04,57.3,-0.096
1983.05,57.3,-0.096
1983.06,57.8,-0.022
1983.07,58.1,0.022
1983.08,58.2,0.037
1983.09,58.4,0.067
1983.1,58.4,0.067
1983.11,58.7,0.111
1983.12,58.8,0.126
1984.01,58.8,0.126
1984.02,59.1,0.17
1984.03,59.1,0.17
1984.04,59.3,0.2
1984.05,59.7,0.259
1984.06,59.9,0.289
1984.07,59.8,0.274
1984.08,59.6,0.244
1984.09,59.7,0.259
1984.1,59.7,0.259
1984.11,59.8,0.274
1984.12,59.9,0.289
1985.01,59.9,0.289
1985.02,60,0.304
1985.03,60.2,0.333
1985.04,60.1,0.319
1985.05,60.1,0.319
1985.06,59.8,0.274
1985.07,59.9,0.289
1985.08,60,0.304
1985.09,60.3,0.348
1985.1,60.3,0.348
1985.11,60.4,0.363
1985.12,60.4,0.363
1986.01,60.6,0.393
1986.02,60.3,0.348
1986.03,60.5,0.378
1986.04,60.5,0.378
1986.05,60.5,0.378
1986.06,60.7,0.407
1986.07,60.8,0.422
1986.08,60.8,0.422
1986.09,60.8,0.422
1986.1,60.9,0.437
1986.11,60.9,0.437
1986.12,61,0.452
1987.01,61,0.452
1987.02,61.1,0.467
1987.03,61.2,0.481
1987.04,61.3,0.496
1987.05,61.6,0.541
1987.06,61.4,0.511
1987.07,61.6,0.541
1987.08,61.8,0.57
1987.09,61.6,0.541
1987.1,61.8,0.57
1987.11,61.9,0.585
1987.12,62,0.6
1988.01,62,0.6
1988.02,62.1,0.615
1988.03,61.9,0.585
1988.04,62.2,0.63
1988.05,62,0.6
1988.06,62.3,0.644
1988.07,62.3,0.644
1988.08,62.4,0.659
1988.09,62.4,0.659
1988.1,62.5,0.674
1988.11,62.7,0.704
1988.12,62.6,0.689
1989.01,62.9,0.733
1989.02,62.9,0.733
1989.03,62.9,0.733
1989.04,62.9,0.733
1989.05,62.9,0.733
1989.06,63,0.748
1989.07,63,0.748
1989.08,63.1,0.763
1989.09,62.8,0.719
1989.1,62.9,0.733
1989.11,63,0.748
1989.12,63,0.748
1990.01,63.2,0.778
1990.02,63.2,0.778
1990.03,63.2,0.778
1990.04,63,0.748
1990.05,63.1,0.763
1990.06,62.9,0.733
1990.07,62.8,0.719
1990.08,62.7,0.704
1990.09,62.5,0.674
1990.1,62.5,0.674
1990.11,62.3,0.644
1990.12,62.2,0.63
1991.01,62,0.6
1991.02,61.9,0.585
1991.03,61.8,0.57
1991.04,62,0.6
1991.05,61.6,0.541
1991.06,61.7,0.556
1991.07,61.6,0.541
1991.08,61.5,0.526
1991.09,61.6,0.541
1991.1,61.5,0.526
1991.11,61.4,0.511
1991.12,61.2,0.481
1992.01,61.5,0.526
1992.02,61.3,0.496
1992.03,61.5,0.526
1992.04,61.6,0.541
1992.05,61.5,0.526
1992.06,61.5,0.526
1992.07,61.6,0.541
1992.08,61.6,0.541
1992.09,61.4,0.511
1992.1,61.3,0.496
1992.11,61.4,0.511
1992.12,61.4,0.511
1993.01,61.4,0.511
1993.02,61.4,0.511
1993.03,61.5,0.526
1993.04,61.5,0.526
1993.05,61.7,0.556
1993.06,61.8,0.57
1993.07,61.8,0.57
1993.08,62,0.6
1993.09,61.7,0.556
1993.1,61.8,0.57
1993.11,61.9,0.585
1993.12,62,0.6
1994.01,62.2,0.63
1994.02,62.3,0.644
1994.03,62.1,0.615
1994.04,62.3,0.644
1994.05,62.5,0.674
1994.06,62.3,0.644
1994.07,62.3,0.644
1994.08,62.6,0.689
1994.09,62.7,0.704
1994.1,62.9,0.733
1994.11,63,0.748
1994.12,63.1,0.763
1995.01,63,0.748
1995.02,63.1,0.763
1995.03,63.1,0.763
1995.04,63.1,0.763
1995.05,62.7,0.704
1995.06,62.7,0.704
1995.07,62.8,0.719
1995.08,62.8,0.719
1995.09,62.9,0.733
1995.1,62.9,0.733
1995.11,62.8,0.719
1995.12,62.7,0.704
1996.01,62.7,0.704
1996.02,62.9,0.733
1996.03,63,0.748
1996.04,63,0.748
1996.05,63,0.748
1996.06,63.2,0.778
1996.07,63.3,0.793
1996.08,63.3,0.793
1996.09,63.4,0.807
1996.1,63.5,0.822
1996.11,63.4,0.807
1996.12,63.4,0.807
1997.01,63.4,0.807
1997.02,63.4,0.807
1997.03,63.6,0.837
1997.04,63.7,0.852
1997.05,63.8,0.867
1997.06,63.7,0.852
1997.07,63.9,0.881
1997.08,63.9,0.881
1997.09,63.9,0.881
1997.1,63.9,0.881
1997.11,64.1,0.911
1997.12,64,0.896
1998.01,64,0.896
1998.02,64,0.896
1998.03,64,0.896
1998.04,64.1,0.911
1998.05,64.1,0.911
1998.06,64,0.896
1998.07,64,0.896
1998.08,63.9,0.881
1998.09,64.2,0.926
1998.1,64.1,0.911
1998.11,64.2,0.926
1998.12,64.3,0.941
1999.01,64.4,0.956
1999.02,64.2,0.926
1999.03,64.2,0.926
1999.04,64.2,0.926
