date,gdp rate,scaled gdprate
1980.01,0.3,0.045
1980.02,0.3,0.045
1980.03,0.3,0.045
1980.04,0.3,0.045
1980.05,0.3,0.045
1980.06,0.3,0.045
1980.07,-2.1,-0.261
1980.08,-2.1,-0.261
1980.09,-2.1,-0.261
1980.1,-0.1,-0.006
1980.11,-0.1,-0.006
1980.12,-0.1,-0.006
1981.01,1.9,0.248
1981.02,1.9,0.248
1981.03,1.9,0.248
1981.04,2,0.261
1981.05,2,0.261
1981.06,2,0.261
1981.07,-0.7,-0.083
1981.08,-0.7,-0.083
1981.09,-0.7,-0.083
1981.1,1.2,0.159
1981.11,1.2,0.159
1981.12,1.2,0.159
1982.01,-1.1,-0.134
1982.02,-1.1,-0.134
1982.03,-1.1,-0.134
1982.04,-1.6,-0.197
1982.05,-1.6,-0.197
1982.06,-1.6,-0.197
1982.07,0.5,0.07
1982.08,0.5,0.07
1982.09,0.5,0.07
1982.1,-0.4,-0.045
1982.11,-0.4,-0.045
1982.12,-0.4,-0.045
1983.01,0,0.006
1983.02,0,0.006
1983.03,0,0.006
1983.04,1.3,0.172
1983.05,1.3,0.172
1983.06,1.3,0.172
1983.07,2.3,0.299
1983.08,2.3,0.299
1983.09,2.3,0.299
1983.1,2,0.261
1983.11,2,0.261
1983.12,2,0.261
1984.01,2.1,0.274
1984.02,2.1,0.274
1984.03,2.1,0.274
1984.04,2,0.261
1984.05,2,0.261
1984.06,2,0.261
1984.07,1.7,0.223
1984.08,1.7,0.223
1984.09,1.7,0.223
1984.1,1,0.134
1984.11,1,0.134
1984.12,1,0.134
1985.01,0.8,0.108
1985.02,0.8,0.108
1985.03,0.8,0.108
1985.04,1,0.134
1985.05,1,0.134
1985.06,1,0.134
1985.07,0.9,0.121
1985.08,0.9,0.121
1985.09,0.9,0.121
1985.1,1.5,0.197
1985.11,1.5,0.197
1985.12,1.5,0.197
1986.01,0.7,0.096
1986.02,0.7,0.096
1986.03,0.7,0.096
1986.04,0.9,0.121
1986.05,0.9,0.121
1986.06,0.9,0.121
1986.07,0.5,0.07
1986.08,0.5,0.07
1986.09,0.5,0.07
1986.1,1,0.134
1986.11,1,0.134
1986.12,1,0.134
1987.01,0.5,0.07
1987.02,0.5,0.07
1987.03,0.5,0.07
1987.04,0.7,0.096
1987.05,0.7,0.096
1987.06,0.7,0.096
1987.07,1.1,0.146
1987.08,1.1,0.146
1987.09,1.1,0.146
1987.1,0.9,0.121
1987.11,0.9,0.121
1987.12,0.9,0.121
1988.01,1.7,0.223
1988.02,1.7,0.223
1988.03,1.7,0.223
1988.04,0.5,0.07
1988.05,0.5,0.07
1988.06,0.5,0.07
1988.07,1.3,0.172
1988.08,1.3,0.172
1988.09,1.3,0.172
1988.1,0.6,0.083
1988.11,0.6,0.083
1988.12,0.6,0.083
1989.01,1.3,0.172
1989.02,1.3,0.172
1989.03,1.3,0.172
1989.04,1,0.134
1989.05,1,0.134
1989.06,1,0.134
1989.07,0.8,0.108
1989.08,0.8,0.108
1989.09,0.8,0.108
1989.1,0.7,0.096
1989.11,0.7,0.096
1989.12,0.7,0.096
1990.01,0.2,0.032
1990.02,0.2,0.032
1990.03,0.2,0.032
1990.04,1.1,0.146
1990.05,1.1,0.146
1990.06,1.1,0.146
1990.07,0.4,0.057
1990.08,0.4,0.057
1990.09,0.4,0.057
1990.1,0.1,0.019
