Date_YYYYMM,gfcf
2012-01,2.51
2012-02,2.51
2012-03,2.51
2012-04,2.74
2012-05,2.74
2012-06,2.74
2012-07,2.55
2012-08,2.55
2012-09,2.55
2012-10,2.56
2012-11,2.56
2012-12,2.56
2013-01,2.56
2013-02,2.56
2013-03,2.56
2013-04,2.82
2013-05,2.82
2013-06,2.82
2013-07,2.62
2013-08,2.62
2013-09,2.62
2013-10,2.6
2013-11,2.6
2013-12,2.6
2014-01,2.63
2014-02,2.63
2014-03,2.63
2014-04,2.81
2014-05,2.81
2014-06,2.81
2014-07,2.7
2014-08,2.7
2014-09,2.7
2014-10,2.72
2014-11,2.72
2014-12,2.72
2015-01,2.65
2015-02,2.65
2015-03,2.65
2015-04,2.87
2015-05,2.87
2015-06,2.87
2015-07,2.79
2015-08,2.79
2015-09,2.79
2015-10,2.81
2015-11,2.81
2015-12,2.81
2016-01,2.92
2016-02,2.92
2016-03,2.92
2016-04,3.12
2016-05,3.12
2016-06,3.12
2016-07,3.18
2016-08,3.18
2016-09,3.18
2016-10,3.05
2016-11,3.05
2016-12,3.05
2017-01,3.11
2017-02,3.11
2017-03,3.11
2017-04,3.29
2017-05,3.29
2017-06,3.29
2017-07,3.21
2017-08,3.21
2017-09,3.21
2017-10,3.24
2017-11,3.24
2017-12,3.24
2018-01,3.4
2018-02,3.4
2018-03,3.4
2018-04,3.77
2018-05,3.77
2018-06,3.77
2018-07,3.67
2018-08,3.67
2018-09,3.67
2018-10,3.67
2018-11,3.67
2018-12,3.67
2019-01,3.83
2019-02,3.83
2019-03,3.83
2019-04,3.97
2019-05,3.97
2019-06,3.97
2019-07,3.97
2019-08,3.97
2019-09,3.97
2019-10,3.63
2019-11,3.63
2019-12,3.63
2020-01,3.77
2020-02,3.77
2020-03,3.77
2020-04,3.93
2020-05,3.93
2020-06,3.93
2020-07,2.29
2020-08,2.29
2020-09,2.29
2020-10,3.53
2020-11,3.53
2020-12,3.53
2021-01,3.93
2021-02,3.93
2021-03,3.93
2021-04,4.47
2021-05,4.47
2021-06,4.47
2021-07,3.8
2021-08,3.8
2021-09,3.8
2021-10,4.1
2021-11,4.1
2021-12,4.1
2022-01,4.07
2022-02,4.07
2022-03,4.07
2022-04,4.73
2022-05,4.73
2022-06,4.73
2022-07,4.33
2022-08,4.33
2022-09,4.33
2022-10,4.3
2022-11,4.3
2022-12,4.3
2023-01,4.27
2023-02,4.27
2023-03,4.27
2023-04,4.9
2023-05,4.9
2023-06,4.9
2023-07,4.7
2023-08,4.7
2023-09,4.7
2023-10,4.8
2023-11,4.8
2023-12,4.8
