date,inflation rate,inflation rate scaled
1980.01,13.9,0.893
1980.02,14.2,0.929
1980.03,14.8,1
1980.04,14.7,0.988
1980.05,14.4,0.953
1980.06,14.4,0.953
1980.07,13.1,0.799
1980.08,12.9,0.775
1980.09,12.6,0.74
1980.1,12.8,0.763
1980.11,12.6,0.74
1980.12,12.5,0.728
1981.01,11.8,0.645
1981.02,11.4,0.598
1981.03,10.5,0.491
1981.04,10,0.432
1981.05,9.8,0.408
1981.06,9.6,0.385
1981.07,10.8,0.527
1981.08,10.8,0.527
1981.09,11,0.55
1981.1,10.1,0.444
1981.11,9.6,0.385
1981.12,8.9,0.302
1982.01,8.4,0.243
1982.02,7.6,0.148
1982.03,6.8,0.053
1982.04,6.5,0.018
1982.05,6.7,0.041
1982.06,7.1,0.089
1982.07,6.4,0.006
1982.08,5.9,-0.053
1982.09,5,-0.16
1982.1,5.1,-0.148
1982.11,4.6,-0.207
1982.12,3.8,-0.302
1983.01,3.7,-0.314
1983.02,3.5,-0.337
1983.03,3.6,-0.325
1983.04,3.9,-0.29
1983.05,3.5,-0.337
1983.06,2.6,-0.444
1983.07,2.5,-0.456
1983.08,2.6,-0.444
1983.09,2.9,-0.408
1983.1,2.9,-0.408
1983.11,3.3,-0.361
1983.12,3.8,-0.302
1984.01,4.2,-0.254
1984.02,4.6,-0.207
1984.03,4.8,-0.183
1984.04,4.6,-0.207
1984.05,4.2,-0.254
1984.06,4.2,-0.254
1984.07,4.2,-0.254
1984.08,4.3,-0.243
1984.09,4.3,-0.243
1984.1,4.3,-0.243
1984.11,4.1,-0.266
1984.12,3.9,-0.29
1985.01,3.5,-0.337
1985.02,3.5,-0.337
1985.03,3.7,-0.314
1985.04,3.7,-0.314
1985.05,3.8,-0.302
1985.06,3.8,-0.302
1985.07,3.6,-0.325
1985.08,3.3,-0.361
1985.09,3.1,-0.385
1985.1,3.2,-0.373
1985.11,3.5,-0.337
1985.12,3.8,-0.302
1986.01,3.9,-0.29
1986.02,3.1,-0.385
1986.03,2.3,-0.479
1986.04,1.6,-0.562
1986.05,1.5,-0.574
1986.06,1.8,-0.538
1986.07,1.6,-0.562
1986.08,1.6,-0.562
1986.09,1.8,-0.538
1986.1,1.5,-0.574
1986.11,1.3,-0.598
1986.12,1.1,-0.621
1987.01,1.5,-0.574
1987.02,2.1,-0.503
1987.03,3,-0.396
1987.04,3.8,-0.302
1987.05,3.9,-0.29
