date,interest rates,interest rates-scaled
1980.01,13.82,0.446
1980.02,14.13,0.478
1980.03,17.19,0.799
1980.04,17.61,0.844
1980.05,10.98,0.148
1980.06,9.47,-0.011
1980.07,9.03,-0.057
1980.08,9.61,0.004
1980.09,10.87,0.136
1980.1,12.81,0.34
1980.11,15.85,0.659
1980.12,18.9,0.979
1981.01,19.08,0.998
1981.02,15.93,0.667
1981.03,14.7,0.538
1981.04,15.72,0.645
1981.05,18.52,0.939
1981.06,19.1,1
1981.07,19.04,0.994
1981.08,17.82,0.866
1981.09,15.87,0.661
1981.1,15.08,0.578
1981.11,13.31,0.392
1981.12,12.37,0.293
1982.01,13.22,0.383
1982.02,14.78,0.546
1982.03,14.68,0.536
1982.04,14.94,0.563
1982.05,14.45,0.512
1982.06,14.15,0.48
1982.07,12.59,0.317
1982.08,10.12,0.057
1982.09,10.31,0.077
1982.1,9.71,0.014
1982.11,9.2,-0.039
1982.12,8.95,-0.066
1983.01,8.68,-0.094
1983.02,8.51,-0.112
1983.03,8.77,-0.085
1983.04,8.8,-0.081
1983.05,8.63,-0.099
1983.06,8.98,-0.062
1983.07,9.37,-0.022
1983.08,9.56,-0.002
1983.09,9.45,-0.013
1983.1,9.48,-0.01
1983.11,9.34,-0.025
1983.12,9.47,-0.011
1984.01,9.56,-0.002
1984.02,9.59,0.002
1984.03,9.91,0.035
1984.04,10.29,0.075
1984.05,10.32,0.078
1984.06,11.06,0.156
1984.07,11.23,0.174
1984.08,11.64,0.217
1984.09,11.3,0.181
1984.1,9.99,0.044
1984.11,9.43,-0.015
1984.12,8.38,-0.125
1985.01,8.35,-0.129
1985.02,8.5,-0.113
1985.03,8.58,-0.104
1985.04,8.27,-0.137
1985.05,7.97,-0.169
1985.06,7.53,-0.215
1985.07,7.88,-0.178
1985.08,7.9,-0.176
1985.09,7.92,-0.174
1985.1,7.99,-0.166
1985.11,8.05,-0.16
1985.12,8.27,-0.137
1986.01,8.14,-0.151
1986.02,7.86,-0.18
1986.03,7.48,-0.22
1986.04,6.99,-0.271
1986.05,6.85,-0.286
1986.06,6.92,-0.279
1986.07,6.56,-0.317
1986.08,6.17,-0.357
1986.09,5.89,-0.387
1986.1,5.85,-0.391
1986.11,6.04,-0.371
1986.12,6.91,-0.28
1987.01,6.43,-0.33
1987.02,6.1,-0.365
1987.03,6.13,-0.362
1987.04,6.37,-0.336
1987.05,6.85,-0.286
1987.06,6.73,-0.299
1987.07,6.58,-0.314
1987.08,6.73,-0.299
1987.09,7.22,-0.247
1987.1,7.29,-0.24
1987.11,6.69,-0.303
1987.12,6.77,-0.294
1988.01,6.83,-0.288
1988.02,6.58,-0.314
1988.03,6.58,-0.314
1988.04,6.87,-0.284
1988.05,7.09,-0.261
1988.06,7.51,-0.217
1988.07,7.75,-0.192
1988.08,8.01,-0.164
1988.09,8.19,-0.145
1988.1,8.3,-0.134
1988.11,8.35,-0.129
1988.12,8.76,-0.086
1989.01,9.12,-0.048
1989.02,9.36,-0.023
1989.03,9.85,0.029
1989.04,9.84,0.028
1989.05,9.81,0.025
1989.06,9.53,-0.005
1989.07,9.24,-0.035
1989.08,8.99,-0.061
1989.09,9.02,-0.058
1989.1,8.84,-0.077
1989.11,8.55,-0.108
1989.12,8.45,-0.118
1990.01,8.23,-0.141
1990.02,8.24,-0.14
1990.03,8.28,-0.136
1990.04,8.26,-0.138
1990.05,8.18,-0.146
1990.06,8.29,-0.135
1990.07,8.15,-0.15
1990.08,8.13,-0.152
1990.09,8.2,-0.144
1990.1,8.11,-0.154
1990.11,7.81,-0.185
1990.12,7.31,-0.238
1991.01,6.91,-0.28
1991.02,6.25,-0.349
1991.03,6.12,-0.363
1991.04,5.91,-0.385
1991.05,5.78,-0.398
1991.06,5.9,-0.386
1991.07,5.82,-0.394
1991.08,5.66,-0.411
1991.09,5.45,-0.433
1991.1,5.21,-0.458
1991.11,4.81,-0.5
1991.12,4.43,-0.54
1992.01,4.03,-0.582
1992.02,4.06,-0.579
1992.03,3.98,-0.587
1992.04,3.73,-0.614
1992.05,3.82,-0.604
1992.06,3.76,-0.61
1992.07,3.25,-0.664
1992.08,3.3,-0.659
1992.09,3.22,-0.667
1992.1,3.1,-0.68
1992.11,3.09,-0.681
1992.12,2.92,-0.699
1993.01,3.02,-0.688
1993.02,3.03,-0.687
1993.03,3.07,-0.683
1993.04,2.96,-0.694
1993.05,3,-0.69
1993.06,3.04,-0.686
1993.07,3.06,-0.684
1993.08,3.03,-0.687
1993.09,3.09,-0.681
1993.1,2.99,-0.691
1993.11,3.02,-0.688
1993.12,2.96,-0.694
1994.01,3.05,-0.685
1994.02,3.25,-0.664
1994.03,3.34,-0.655
1994.04,3.56,-0.631
1994.05,4.01,-0.584
1994.06,4.25,-0.559
1994.07,4.26,-0.558
1994.08,4.47,-0.536
1994.09,4.73,-0.509
1994.1,4.76,-0.506
1994.11,5.29,-0.45
1994.12,5.45,-0.433
1995.01,5.53,-0.425
1995.02,5.92,-0.384
1995.03,5.98,-0.377
1995.04,6.05,-0.37
1995.05,6.01,-0.374
1995.06,6,-0.375
1995.07,5.85,-0.391
1995.08,5.74,-0.403
1995.09,5.8,-0.396
1995.1,5.76,-0.401
1995.11,5.8,-0.396
1995.12,5.6,-0.417
1996.01,5.56,-0.422
1996.02,5.22,-0.457
1996.03,5.31,-0.448
1996.04,5.22,-0.457
1996.05,5.24,-0.455
1996.06,5.27,-0.452
1996.07,5.4,-0.438
1996.08,5.22,-0.457
1996.09,5.3,-0.449
1996.1,5.24,-0.455
1996.11,5.31,-0.448
1996.12,5.29,-0.45
1997.01,5.25,-0.454
1997.02,5.19,-0.46
1997.03,5.39,-0.439
1997.04,5.51,-0.427
1997.05,5.5,-0.428
1997.06,5.56,-0.422
1997.07,5.52,-0.426
1997.08,5.54,-0.424
1997.09,5.54,-0.424
1997.1,5.5,-0.428
1997.11,5.52,-0.426
1997.12,5.5,-0.428
1998.01,5.56,-0.422
1998.02,5.51,-0.427
1998.03,5.49,-0.429
1998.04,5.45,-0.433
1998.05,5.49,-0.429
1998.06,5.56,-0.422
1998.07,5.54,-0.424
1998.08,5.55,-0.423
1998.09,5.51,-0.427
1998.1,5.07,-0.473
1998.11,4.83,-0.498
1998.12,4.68,-0.514
1999.01,4.63,-0.519
1999.02,4.76,-0.506
1999.03,4.81,-0.5
1999.04,4.74,-0.508
1999.05,4.74,-0.508
1999.06,4.76,-0.506
1999.07,4.99,-0.481
1999.08,5.07,-0.473
1999.09,5.22,-0.457
1999.1,5.2,-0.459
1999.11,5.42,-0.436
1999.12,5.3,-0.449
2000.01,5.45,-0.433
2000.02,5.73,-0.404
2000.03,5.85,-0.391
2000.04,6.02,-0.373
2000.05,6.27,-0.347
2000.06,6.53,-0.32
2000.07,6.54,-0.319
2000.08,6.5,-0.323
2000.09,6.52,-0.321
2000.1,6.51,-0.322
2000.11,6.51,-0.322
2000.12,6.4,-0.333
2001.01,5.98,-0.377
2001.02,5.49,-0.429
2001.03,5.31,-0.448
2001.04,4.8,-0.501
2001.05,4.21,-0.563
2001.06,3.97,-0.588
2001.07,3.77,-0.609
2001.08,3.65,-0.622
2001.09,3.07,-0.683
2001.1,2.49,-0.744
2001.11,2.09,-0.786
2001.12,1.82,-0.814
2002.01,1.73,-0.824
2002.02,1.74,-0.823
2002.03,1.73,-0.824
2002.04,1.75,-0.822
2002.05,1.75,-0.822
2002.06,1.75,-0.822
2002.07,1.73,-0.824
2002.08,1.74,-0.823
2002.09,1.75,-0.822
2002.1,1.75,-0.822
2002.11,1.34,-0.865
2002.12,1.24,-0.875
2003.01,1.24,-0.875
2003.02,1.26,-0.873
2003.03,1.25,-0.874
2003.04,1.26,-0.873
2003.05,1.26,-0.873
2003.06,1.22,-0.877
2003.07,1.01,-0.899
2003.08,1.03,-0.897
2003.09,1.01,-0.899
2003.1,1.01,-0.899
