Date_YYYYMM,ppi,ppi-scaled
2012-01,101.63,-1
2012-02,102.1,-0.983
2012-03,103.1,-0.945
2012-04,104.7,-0.886
2012-05,105.3,-0.863
2012-06,105.3,-0.863
2012-07,106.2,-0.83
2012-08,106.9,-0.804
2012-09,107.6,-0.778
2012-10,107.4,-0.785
2012-11,107.3,-0.789
2012-12,107.1,-0.797
2013-01,108,-0.763
2013-02,108.4,-0.748
2013-03,108.6,-0.741
2013-04,108.6,-0.741
2013-05,108.6,-0.741
2013-06,110.1,-0.685
2013-07,111.2,-0.644
2013-08,112.9,-0.581
2013-09,114.3,-0.529
2013-10,114.6,-0.518
2013-11,114.3,-0.529
2013-12,113.4,-0.562
2014-01,113.6,-0.555
2014-02,113.6,-0.555
2014-03,114.3,-0.529
2014-04,114.1,-0.536
2014-05,114.8,-0.51
2014-06,115.2,-0.495
2014-07,116.7,-0.439
2014-08,117.2,-0.421
2014-09,116.4,-0.451
2014-10,115.6,-0.48
2014-11,114.1,-0.536
2014-12,112.1,-0.611
2015-01,110.8,-0.659
2015-02,109.6,-0.704
2015-03,109.9,-0.692
2015-04,110.2,-0.681
2015-05,111.4,-0.637
2015-06,111.8,-0.622
2015-07,111.1,-0.648
2015-08,110,-0.689
2015-09,109.9,-0.692
2015-10,110.1,-0.685
2015-11,109.9,-0.692
2015-12,109.4,-0.711
2016-01,108,-0.763
2016-02,107.1,-0.797
2016-03,107.7,-0.774
2016-04,109,-0.726
2016-05,110.4,-0.674
2016-06,111.7,-0.625
2016-07,111.8,-0.622
2016-08,111.2,-0.644
2016-09,111.4,-0.637
2016-10,111.5,-0.633
2016-11,111.9,-0.618
2016-12,111.7,-0.625
2017-01,112.6,-0.592
2017-02,113,-0.577
2017-03,113.2,-0.57
2017-04,113.2,-0.57
2017-05,112.9,-0.581
2017-06,112.7,-0.588
2017-07,113.9,-0.544
2017-08,114.8,-0.51
2017-09,114.9,-0.506
2017-10,115.6,-0.48
2017-11,116.4,-0.451
2017-12,115.7,-0.477
2018-01,116,-0.466
2018-02,116.1,-0.462
2018-03,116.3,-0.454
2018-04,117.3,-0.417
2018-05,118.3,-0.38
2018-06,119.1,-0.35
2018-07,119.9,-0.32
2018-08,120.1,-0.313
2018-09,120.9,-0.283
2018-10,122,-0.242
2018-11,121.6,-0.257
2018-12,119.7,-0.328
2019-01,119.2,-0.346
2019-02,119.5,-0.335
2019-03,119.9,-0.32
2019-04,121.1,-0.276
2019-05,121.6,-0.257
2019-06,121.5,-0.261
2019-07,121.3,-0.268
2019-08,121.5,-0.261
2019-09,121.3,-0.268
2019-10,122,-0.242
2019-11,122.3,-0.231
2019-12,123,-0.205
2020-01,123.4,-0.19
2020-02,122.2,-0.235
2020-03,120.4,-0.302
2020-04,119.2,-0.346
2020-05,117.5,-0.41
2020-06,119.3,-0.343
2020-07,121,-0.28
2020-08,122,-0.242
2020-09,122.9,-0.209
2020-10,123.6,-0.183
2020-11,125.1,-0.127
2020-12,125.4,-0.116
2021-01,126.5,-0.075
2021-02,128.1,-0.015
2021-03,129.9,0.052
2021-04,132,0.13
2021-05,132.9,0.163
2021-06,133.7,0.193
2021-07,135,0.241
2021-08,136.2,0.286
2021-09,137.4,0.33
2021-10,140.7,0.453
2021-11,143.7,0.565
2021-12,143.3,0.55
2022-01,143.8,0.569
2022-02,145.3,0.624
2022-03,148.9,0.758
2022-04,152.3,0.885
2022-05,155,0.985
2022-06,155.4,1
2022-07,154,0.948
2022-08,153.2,0.918
2022-09,151.9,0.87
2022-10,152.9,0.907
2022-11,152.5,0.892
2022-12,150.5,0.818
2023-01,150.7,0.825
2023-02,150.9,0.833
2023-03,151,0.836
2023-04,151.1,0.84
2023-05,149.4,0.777
2023-06,148.9,0.758
2023-07,152.1,0.877
2023-08,152.5,0.892
2023-09,151.8,0.866
2023-10,152.5,0.892
2023-11,153.1,0.914
2023-12,151.8,0.866
2024-01,151.2,0.844
2024-02,151.2,0.844
2024-03,151.4,0.851
2024-04,153,0.911
2024-05,153.3,0.922
